RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",AUTOMATED_SHORT_NAME,AUTOMATED_LONG_NAME,AUTOMATED_LONG_DESCRIPTION,STATUS,STATUS_REASON,STATUS_TEXT,CHANGE_TYPE,"CHANGE_REASON_PUBLIC",EXPORTED_TO_LOINC,MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID464,,"","",MR LE ANGIO,MR LOWER EXTREMITY ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LOWER EXTREMITY,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID465,,"","",MR NECK ANGIO,MR NECK ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the NECK,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,NECK, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID7488|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID466,MRNKCA,"MR Neck Angio w/wo","MR Neck Angio w and wo IV Contrast",MR NECK ANGIO WO & W IVCON,MR NECK ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the NECK WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,NECK, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID7488|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID467,MRNKUA,"MR Neck Angio wo","MR Neck Angio wo IV Contrast",MR NECK ANGIO WO IVCON,MR NECK ANGIOGRAPHY WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the NECK WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,NECK, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID7488|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID468,,"","",MR PELVIS ANGIO,MR PELVIS ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the PELVIS,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID2507|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID469,MRPLCA,"MR Pelv Angio w/wo","MR Pelvis Angio w and wo IV Contrast",MR PELVIS ANGIO WO & W IVCON,MR PELVIS ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the PELVIS WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2507|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID470,,"","",MR SPINE ANGIO,MR SPINE ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the SPINE,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,SPINE, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID7741|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID471,,"","",MR UE ANGIO,MR UPPER EXTREMITY ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the UPPER EXTREMITY,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID472,MRFAU,"MR Forearm wo","MR Forearm wo IV Contrast",MR UE FOREARM WO IVCON,MR UPPER EXTREMITY FOREARM WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the FOREARM in the UPPER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,FOREARM, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2107|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID473,MRABU,"MR Abd wo","MR Abdomen wo IV Contrast",MR ABD WO IVCON,MR ABDOMEN WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID474,MRABC,"MR Abd w/wo","MR Abdomen w and wo IV Contrast",MR ABD WO & W IVCON,MR ABDOMEN WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID475,MRABE,"MR Abd w","MR Abdomen w IV Contrast",MR ABD W IVCON,MR ABDOMEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the ABDOMEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID476,MRBMU,"MR Bone Marrow wo","MR Bone Marrow wo IV Contrast",MR BONE BN MARROW WO IVCON,MR BONE BONE MARROW WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BONE MARROW in the BONE WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,BONE, , , , , , , , , ,BONE MARROW, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID13197|0|0|0|0|0|0|0|0|0|RID38594|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID477,,"","",MR BONE BN MARROW W IVCON,MR BONE BONE MARROW WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BONE MARROW in the BONE WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,BONE, , , , , , , , , ,BONE MARROW, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID13197|0|0|0|0|0|0|0|0|0|RID38594|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID478,MRBPU,"MR Brachial Plexus wo","MR Brachial Plexus wo IV Contrast",MR CHST BRACH PLEX WO IVCON,MR CHEST BRACHIAL PLEXUS WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BRACHIAL PLEXUS in the CHEST WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,BRACHIAL PLEXUS, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID7202|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID479,MRHDU,"MR Head wo","MR Head wo IV Contrast",MR HEAD BRN WO IVCON,MR HEAD BRAIN WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID480,MRHDC,"MR Head w/wo","MR Head w and wo IV Contrast",MR HEAD BRN WO & W IVCON,MR HEAD BRAIN WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,BRAIN, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID481,MRHDE,"MR Head w","MR Head w IV Contrast",MR HEAD BRN W IVCON,MR HEAD BRAIN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID486,MRCFU,"MR Calf wo","MR Calf wo IV contrast",MR LE CALF WO IVCON,MR LOWER EXTREMITY CALF WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CALF in the LOWER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,CALF, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID38595|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID487,MRCSC,"MR C-Spine w/wo","MR Cervical Spine w and wo IV Contrast",MR C SPINE WO & W IVCON,MR CERVICAL SPINE WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CERVICAL SPINE WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID488,MRCSE,"MR C-Spine w","MR Cervical Spine w IV Contrast",MR C SPINE W IVCON,MR CERVICAL SPINE WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CERVICAL SPINE WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID489,MRCHU,"MR Chest wo","MR Chest wo IV Contrast",MR CHST WO IVCON,MR CHEST WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID490,MRCHC,"MR Chest w/wo","MR Chest w and wo IV Contrast",MR CHST WO & W IVCON,MR CHEST WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID491,MRCHE,"MR Chest w","MR Chest w IV Contrast",MR CHST W IVCON,MR CHEST WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the CHEST WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID492,MRFIU,"MR Finger wo","MR Finger wo IV Contrast",MR UE FNGR WO IVCON,MR UPPER EXTREMITY FINGER WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the FINGER in the UPPER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,FINGER, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2391|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID493,MRFTU,"MR Foot wo","MR Foot wo IV Contrast",MR LE FOOT WO IVCON,MR LOWER EXTREMITY FOOT WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the FOOT in the LOWER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,FOOT, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID28829|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID494,MRHNU,"MR Hand wo","MR Hand wo IV Contrast",MR UE HAND WO IVCON,MR UPPER EXTREMITY HAND WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the HAND in the UPPER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HAND, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID2318|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID495,MRLEE,"MR Leg w","MR Lower Extremity w IV Contrast",MR LE W IVCON,MR LOWER EXTREMITY WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the LOWER EXTREMITY WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID496,MRLEU,"MR Leg wo","MR Lower Extremity wo IV Contrast",MR LE WO IVCON,MR LOWER EXTREMITY WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the LOWER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID497,MRLEAR,"MR Leg Arthrogram","MR Lower Extremity Arthrogram",MR LE ARTHRO JT,MR LOWER EXTREMITY ARTHROGRAPHY JOINT,A magnetic resonance  RADIOLOGY ORDERABLE ARTHROGRAPHY procedure focused on the JOINT in the LOWER EXTREMITY,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,ARTHROGRAPHY, , , , ,JOINT, , , , , , , , , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|RID10373|0|0|0|0|RID6122|0|0|0|0|0|0|0|0|0|0|0|0|
RPID498,MRLECJT,"MR Leg Joint w/wo","MR Lower Extremity Joint w and wo IV Contrast",MR LE JT WO & W IVCON,MR LOWER EXTREMITY JOINT WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the JOINT in the LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,JOINT, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID6122|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID499,MRLEUJT,"MR Leg Joint wo","MR Lower Extremity Joint wo IV Contrast",MR LE JT WO IVCON,MR LOWER EXTREMITY JOINT WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the JOINT in the LOWER EXTREMITY WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,JOINT, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID6122|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID500,MRLSC,"MR L-Spine w/wo","MR Lumbar Spine w and wo IV Contrast",MR L SPINE WO & W IVCON,MR LUMBAR SPINE WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the LUMBAR SPINE WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID501,MRLSE,"MR L-Spine w","MR Lumbar Spine w IV Contrast",MR L SPINE W IVCON,MR LUMBAR SPINE WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE imaging procedure focused on the LUMBAR SPINE WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
